time,open,high,low,close,tick_volume,spread,real_volume
2026-08-06 19:10:00,4249.191,4251.344,4247.017,4247.522,617,240,0
2026-08-06 19:15:00,4247.411,4248.571,4245.082,4245.517,573,240,0
2026-08-06 19:20:00,4245.657,4247.312,4239.661,4240.31,733,240,0
2026-08-06 19:25:00,4239.888,4241.979,4235.18,4237.238,1832,240,0
2026-08-06 19:30:00,4237.447,4238.57,4235.591,4238.058,1100,240,0
2026-08-06 19:35:00,4238.006,4239.737,4236.004,4236.494,786,240,0
2026-08-06 19:40:00,4236.546,4237.105,4232.942,4234.491,882,240,0
2026-08-06 19:45:00,4234.542,4239.238,4234.534,4237.809,707,240,0
2026-08-06 19:50:00,4237.655,4250.721,4237.438,4246.92,1635,240,0
2026-08-06 19:55:00,4246.865,4249.068,4243.684,4248.79,1407,240,0
2026-08-06 20:00:00,4248.944,4250.188,4245.889,4247.094,959,240,0
2026-08-06 20:05:00,4247.209,4247.649,4245.419,4245.529,438,240,0
2026-08-06 20:10:00,4245.582,4246.893,4242.787,4244.587,509,244,0
2026-08-06 20:15:00,4244.722,4245.822,4243.6,4244.293,399,240,0
2026-08-06 20:20:00,4244.414,4244.966,4241.933,4242.597,563,244,0
2026-08-06 20:25:00,4242.662,4243.228,4239.7,4242.005,462,240,0
2026-08-06 20:30:00,4242.006,4242.006,4240.696,4241.301,317,240,0
2026-08-06 20:35:00,4241.353,4242.575,4239.572,4240.403,412,240,0
2026-08-06 20:40:00,4240.137,4240.299,4235.099,4235.512,670,240,0
2026-08-06 20:45:00,4235.512,4239.025,4234.618,4236.603,551,240,0
2026-08-06 20:50:00,4236.381,4241.945,4235.759,4241.382,664,240,0
2026-08-06 20:55:00,4241.501,4241.665,4239.89,4240.43,210,240,0
2026-08-06 22:00:00,4239.787,4240.593,4235.755,4236.442,331,260,0
2026-08-06 22:05:00,4236.501,4238.487,4236.271,4237.872,242,256,0
2026-08-06 22:10:00,4237.802,4239.066,4236.762,4239.053,270,240,0
2026-08-06 22:15:00,4239.118,4241.602,4238.905,4240.837,311,240,0
2026-08-06 22:20:00,4240.933,4242.809,4239.553,4242.204,344,240,0
2026-08-06 22:25:00,4241.85,4243.603,4241.147,4242.531,324,240,0
2026-08-06 22:30:00,4242.525,4243.404,4241.111,4241.478,392,240,0
2026-08-06 22:35:00,4241.69,4241.812,4239.894,4240.474,254,240,0
2026-08-06 22:40:00,4240.526,4241.558,4238.959,4239.485,324,240,0
2026-08-06 22:45:00,4239.469,4241.978,4238.692,4241.532,292,240,0
2026-08-06 22:50:00,4241.781,4243.025,4240.969,4241.978,294,240,0
2026-08-06 22:55:00,4242.23,4242.23,4240.588,4240.83,222,240,0
2026-08-06 23:00:00,4240.779,4243.184,4240.066,4242.318,367,240,0
2026-08-06 23:05:00,4242.119,4245.712,4242.119,4243.886,384,240,0
2026-08-06 23:10:00,4244.14,4245.597,4243.638,4245.597,229,240,0
2026-08-06 23:15:00,4245.333,4246.232,4244.683,4245.806,261,240,0
2026-08-06 23:20:00,4245.809,4246.197,4245.471,4246.005,205,240,0
2026-08-06 23:25:00,4246.097,4246.28,4243.053,4245.267,316,240,0
2026-08-06 23:30:00,4245.008,4248.842,4244.935,4247.077,375,240,0
2026-08-06 23:35:00,4247.071,4247.902,4246.096,4246.219,270,240,0
2026-08-06 23:40:00,4246.225,4247.96,4244.752,4246.798,340,240,0
2026-08-06 23:45:00,4246.809,4249.226,4245.623,4248.719,494,240,0
2026-08-06 23:50:00,4248.457,4252.171,4248.457,4251.668,610,240,0
2026-08-06 23:55:00,4251.551,4253.243,4250.325,4252.14,524,240,0
2026-08-07 00:00:00,4252.394,4253.005,4247.329,4249.455,1299,240,0
2026-08-07 00:05:00,4249.795,4251.1,4248.769,4249.231,860,240,0
2026-08-07 00:10:00,4249.088,4249.368,4243.234,4244.715,920,240,0
2026-08-07 00:15:00,4244.665,4246.33,4241.224,4242.433,1021,240,0
2026-08-07 00:20:00,4242.129,4245.601,4239.509,4240.003,1052,240,0
2026-08-07 00:25:00,4239.718,4244.217,4238.993,4243.692,999,240,0
2026-08-07 00:30:00,4243.997,4243.997,4240.189,4241.365,1110,240,0
2026-08-07 00:35:00,4241.43,4242.559,4235.406,4235.719,1323,240,0
2026-08-07 00:40:00,4235.724,4235.984,4230.337,4234.672,1505,240,0
2026-08-07 00:45:00,4234.685,4236.948,4231.328,4231.36,1196,240,0
2026-08-07 00:50:00,4231.296,4234.995,4230.971,4233.935,1283,240,0
2026-08-07 00:55:00,4233.991,4234.231,4229.509,4232.657,1374,240,0
2026-08-07 01:00:00,4232.544,4243.26,4231.229,4241.542,3142,240,0
2026-08-07 01:05:00,4241.486,4246.827,4239.85,4242.562,1690,240,0
2026-08-07 01:10:00,4242.624,4245.077,4240.421,4244.08,1314,240,0
2026-08-07 01:15:00,4244.135,4246.434,4243.191,4244.491,1252,240,0
2026-08-07 01:20:00,4244.249,4250.228,4240.861,4241.725,1553,240,0
2026-08-07 01:25:00,4241.781,4245.935,4239.91,4243.355,1561,240,0
2026-08-07 01:30:00,4243.222,4245.293,4239.001,4242.946,1689,240,0
2026-08-07 01:35:00,4242.999,4246.522,4241.669,4246.372,1506,240,0
2026-08-07 01:40:00,4246.564,4258.884,4245.671,4256.541,2168,240,0
2026-08-07 01:45:00,4256.793,4258.844,4252.385,4254.134,1534,240,0
2026-08-07 01:50:00,4254.142,4255.277,4251.921,4254.327,1047,240,0
2026-08-07 01:55:00,4254.271,4259.351,4253.814,4256.766,1316,240,0
2026-08-07 02:00:00,4256.7,4261.743,4255.89,4261.348,1275,240,0
2026-08-07 02:05:00,4261.07,4261.428,4257.85,4259.051,897,240,0
2026-08-07 02:10:00,4259.121,4259.771,4257.275,4258.674,775,240,0
2026-08-07 02:15:00,4258.7,4261.131,4257.521,4258.098,593,244,0
2026-08-07 02:20:00,4258.12,4260.905,4257.383,4260.672,615,240,0
2026-08-07 02:25:00,4260.376,4261.245,4259.3,4260.595,478,240,0
2026-08-07 02:30:00,4260.98,4261.734,4256.35,4256.888,1263,240,0
2026-08-07 02:35:00,4256.987,4257.308,4251.966,4252.767,1255,240,0
2026-08-07 02:40:00,4252.714,4254.904,4249.753,4249.776,1272,240,0
2026-08-07 02:45:00,4249.721,4252.299,4246.938,4251.114,1056,240,0
2026-08-07 02:50:00,4251.175,4255.645,4250.982,4254.666,946,240,0
2026-08-07 02:55:00,4254.698,4256.024,4249.69,4250.393,1016,240,0
2026-08-07 03:00:00,4250.198,4259.214,4249.575,4258.372,1113,240,0
2026-08-07 03:05:00,4258.177,4258.575,4255.977,4256.7,942,240,0
2026-08-07 03:10:00,4256.929,4257.545,4252.812,4254.57,820,240,0
2026-08-07 03:15:00,4254.548,4255.794,4252.712,4254.084,960,240,0
2026-08-07 03:20:00,4254.037,4256.413,4251.691,4254.783,1114,240,0
2026-08-07 03:25:00,4254.845,4258.969,4254.411,4258.539,1020,240,0
2026-08-07 03:30:00,4258.423,4261.116,4258.35,4259.411,657,240,0
2026-08-07 03:35:00,4259.335,4260.91,4257.492,4260.26,679,240,0
2026-08-07 03:40:00,4260.292,4261.132,4259.601,4260.626,418,240,0
2026-08-07 03:45:00,4260.529,4261.492,4259.154,4260.752,612,240,0
2026-08-07 03:50:00,4260.883,4261.083,4258.996,4260.376,437,240,0
2026-08-07 03:55:00,4260.379,4266.503,4260.048,4265.983,935,244,0
2026-08-07 04:00:00,4265.919,4269.281,4261.962,4264.929,1102,244,0
2026-08-07 04:05:00,4264.862,4267.835,4264.366,4266.337,1005,244,0
2026-08-07 04:10:00,4266.333,4267.699,4263.893,4265.692,805,240,0
2026-08-07 04:15:00,4265.96,4267.275,4262.124,4262.433,895,240,0
2026-08-07 04:20:00,4262.46,4268.676,4261.72,4265.738,1108,240,0
2026-08-07 04:25:00,4265.783,4267.098,4263.827,4264.798,878,240,0
2026-08-07 04:30:00,4264.734,4268.455,4263.588,4267.763,1363,240,0
2026-08-07 04:35:00,4267.779,4268.293,4263.978,4264.701,719,240,0
2026-08-07 04:40:00,4264.644,4266.294,4260.792,4263.738,817,240,0
2026-08-07 04:45:00,4264.027,4264.587,4262.24,4264.245,467,240,0
2026-08-07 04:50:00,4264.188,4266.932,4264.135,4266.825,419,240,0
2026-08-07 04:55:00,4266.82,4267.283,4264.678,4264.724,468,240,0
2026-08-07 05:00:00,4265.103,4266.63,4263.299,4265.823,864,240,0
2026-08-07 05:05:00,4265.72,4267.168,4261.622,4267.168,1049,248,0
2026-08-07 05:10:00,4267.219,4271.219,4265.876,4269.153,1140,240,0
2026-08-07 05:15:00,4269.458,4270.68,4267.967,4268.605,752,240,0
2026-08-07 05:20:00,4268.608,4270.64,4265.744,4266.65,1001,240,0
2026-08-07 05:25:00,4266.583,4267.927,4264.506,4266.246,778,240,0
2026-08-07 05:30:00,4266.368,4276.729,4265.801,4274.978,2593,244,0
2026-08-07 05:35:00,4275.031,4277.373,4272.664,4273.575,1635,244,0
2026-08-07 05:40:00,4273.524,4273.894,4270.455,4271.527,1161,240,0
2026-08-07 05:45:00,4271.519,4276.952,4271.514,4276.054,1205,240,0
2026-08-07 05:50:00,4276.004,4279.569,4273.52,4274.648,1472,240,0
2026-08-07 05:55:00,4274.707,4280.476,4274.707,4278.553,1348,240,0
2026-08-07 06:00:00,4278.824,4282.932,4278.204,4282.225,909,240,0
2026-08-07 06:05:00,4282.277,4284.343,4281.181,4282.096,1229,240,0
2026-08-07 06:10:00,4282.071,4291.778,4281.544,4286.814,1773,240,0
2026-08-07 06:15:00,4286.534,4290.56,4283.862,4288.204,1795,248,0
2026-08-07 06:20:00,4287.873,4291.468,4286.706,4287.278,1433,244,0
2026-08-07 06:25:00,4287.634,4287.733,4283.113,4283.41,1344,240,0
2026-08-07 06:30:00,4283.356,4287.438,4279.944,4286.135,1467,244,0
2026-08-07 06:35:00,4286.38,4293.653,4285.857,4291.949,1404,244,0
2026-08-07 06:40:00,4291.986,4295.167,4291.594,4292.128,1240,240,0
2026-08-07 06:45:00,4292.072,4294.62,4289.24,4289.24,1207,240,0
2026-08-07 06:50:00,4289.512,4295.259,4288.545,4293.614,1159,240,0
